Currency *   1 USD = ,1.00,,,Grant total (USD):,$856.00
Contingency:,0,,,With contingency:,$0.00
,,,,Grant subtotal (USD):,$856.00
Type of Expense,Expense details,Link,Total (own currency),% of budget,Total (USD)
"Use ""Other"" if none of the below apply",Short description of expense,"Add any additional context and notes on other funding sources, if applicable",Enter the amount in your preferred currency,Column updates automatically,Column updates automatically
Materials,16mm Carbon Fiber Rods,https://www.aliexpress.com/item/1005004410446882.html,15,2%,$15.00
Materials,12mm Carbon Fiber Rods,https://www.aliexpress.com/item/1005004410446882.html,10,1%,$10.00
Materials,Rasberry pi AI Cam,https://www.canakit.com/raspberry-pi-ai-camera.html?cid=CAD&src=raspberrypi,69,8%,$69.00
Materials,6mm Carbon Fiber Rods,https://www.aliexpress.com/item/1005008542386669.html,30,4%,$30.00
Materials,Servo Motors,https://www.amazon.ca/Miuzei-Geared-Helicopter-Arduino-Project/dp/B0BWJ4RKGV,20,2%,$20.00
Materials,m10 gps,https://www.aliexpress.com/item/1005005715043982.html,15,2%,$15.00
Materials,21700 batteries,https://pandabatteries.com/products/jp40-21700-lithium-battery-cell-4000mah-60a-high-drain-perfect-for-power-tools-diy-packs,100,12%,$100.00
Materials,Buzzer,https://www.aliexpress.com/item/4000202878150.html,10,1%,$10.00
Materials,ELRS receiver,https://www.aliexpress.com/item/1005011758967854.html,12,1%,$12.00
Operations,Props 10inch,https://www.aliexpress.com/item/1005007471007910.html,10,1%,$10.00
Materials,Larger Servos,https://www.amazon.ca/dp/B0CSKDKBLC,40,5%,$40.00
Operations,DJI O4 Air Unit,,119,14%,$119.00
Operations,DJI Goggles N3,,319,37%,$319.00
Other,5v BEC,https://www.aliexpress.com/item/1005008493990890.html,17,2%,$17.00
Operations,FC & ESC,https://www.aliexpress.com/item/1005010225981373.html,70,8%,$70.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
