Currency *   1 USD = ,1.00,,,Grant total (USD):,$331.00
Contingency:,0,,,With contingency:,$0.00
,,,,Grant subtotal (USD):,$331.00
Type of Expense,Expense details,Link,Total (own currency),% of budget,Total (USD)
"Use ""Other"" if none of the below apply",Short description of expense,"Add any additional context and notes on other funding sources, if applicable",Enter the amount in your preferred currency,Column updates automatically,Column updates automatically
Materials,10mm Carbon Fiber Rod,https://www.amazon.ca/MECCANIXITY-Carbon-Fiber-Quadcopter-Repair/dp/B0DYVGNMDD/ref,15,5%,$15.00
Materials,5mm Carbon Fiber Rod,https://www.amazon.ca/MECCANIXITY-Carbon-Airplane-Quadcopter-Repair/dp/B0CXPQM1QC/,10,3%,$10.00
Materials,Rasberry pi AI Cam,https://www.canakit.com/raspberry-pi-ai-camera.html?cid=CAD&src=raspberrypi,69,21%,$69.00
Materials,18mm carbon fiber tube,https://www.amazon.ca/uxcell-Surface-Airplane-Quadcopter-Multicopter/dp/B0D549HPLT/,30,9%,$30.00
Materials,Servo Motors,https://www.amazon.ca/Miuzei-Geared-Helicopter-Arduino-Project/dp/B0BWJ4RKGV,20,6%,$20.00
Materials,m10 gps,https://www.aliexpress.com/item/1005005715043982.html,15,5%,$15.00
Materials,21700 batteries,https://pandabatteries.com/products/jp40-21700-lithium-battery-cell-4000mah-60a-high-drain-perfect-for-power-tools-diy-packs,100,30%,$100.00
Materials,Buzzer,https://www.aliexpress.com/item/4000202878150.html,10,3%,$10.00
Materials,ELRS receiver,https://www.aliexpress.com/item/1005011758967854.html,12,4%,$12.00
Operations,Props 10inch,https://www.aliexpress.com/item/1005007471007910.html,10,3%,$10.00
Materials,Larger Servos,https://www.amazon.ca/dp/B0CSKDKBLC,40,12%,$40.00
Operations,,,,0%,$0.00
Operations,,,,0%,$0.00
Other,,,,0%,$0.00
Operations,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
,,,,0%,$0.00
